case_id,derived_candidate_rows,generated_only_count,difference
1040237251966612,7,7,0
1043978156140154,7,6,1
1044929752837403,7,7,0
1044929754773340,6,6,0
1044929756486000,4,4,0
1052372556078456,10,10,0
1052372559223989,9,9,0
1086720257761141,6,6,0
1088636256034024,5,5,0
1093360951002383,9,8,1
1093360954300688,9,9,0
1093360957629869,5,5,0
1101693551683155,8,8,0
1102224555490259,7,7,0
1105227359032183,9,9,0
1105293550367895,5,5,0
1105293556129930,5,5,0
1105293557171514,7,7,0
1120464657940242,2,2,0
1141323651503417,12,12,0
1141323652164077,8,8,0
1141323653410264,8,8,0
1141323655277653,9,9,0
1141323655420069,9,9,0
1141323657332361,7,7,0
1141323658006032,10,9,1
1141323658800563,8,8,0
1141323658971300,6,5,1
1141323659218667,7,7,0
1147406556451222,7,7,0
1147406558721487,7,7,0
1151210452398109,8,8,0
1156904254093116,4,4,0
1156904257778607,8,8,0
1156909356084617,6,6,0
1167394853339862,5,5,0
1187988656855230,7,7,0
1190622259697640,8,7,1
1192422656051681,3,3,0
1192422656091680,6,6,0
1192422658367071,6,5,1
1207404152969052,8,8,0
1207404154973829,8,8,0
1212474152979134,9,9,0
1212474153352013,7,7,0
1218577556043671,11,11,0
1218577556614076,12,11,1
1218577559200846,9,9,0
1234073751192088,7,7,0
1236922150178679,9,9,0
1236922159986698,7,7,0
1004616657379357,9,8,1
1027414553356050,10,10,0
1027414556140866,5,5,0
1040237256446284,5,5,0
1040237258736291,6,6,0
1040237259239338,7,7,0
1041064156031350,4,4,0
1053232651742525,6,6,0
1075418456348027,8,8,0
1086720250482798,10,10,0
1088636252555178,7,7,0
1093360950289849,9,9,0
1093360951115198,5,5,0
1093360952402828,8,8,0
1093360952624179,12,11,1
1093360952935265,10,9,1
1093360953512860,5,4,1
1093360955447530,5,5,0
1093360959225625,5,5,0
1102224552391187,7,7,0
1102224558402174,9,9,0
1105293555372843,8,8,0
1105293557214202,9,9,0
1121361352818853,7,7,0
1129351755101140,8,8,0
1129351756805129,8,8,0
1129351757001251,8,8,0
1137815055092691,7,7,0
1141323651943964,7,7,0
1141323659753947,5,5,0
1147406550955371,4,4,0
1147406559083645,8,8,0
1151210453379869,9,8,1
1156909351887095,8,7,1
1156909359413372,7,7,0
1188092355238105,7,7,0
1189309155255832,7,7,0
1190622252008677,6,6,0
1192869253222889,9,8,1
1211086352268728,8,8,0
1212474157320234,9,9,0
1213679950323020,8,8,0
1218577553295276,7,7,0
1218577553923012,6,6,0
1218577554133721,7,7,0
1230366758981887,6,6,0
1241006655755138,6,6,0
1247519856545860,2,2,0
1026887754103072,8,8,0
1026887757976739,6,6,0
1027414559166131,5,5,0
1041064156839020,4,4,0
1043978155725911,5,5,0
1065000155609649,6,6,0
1071547752467293,10,10,0
1075418454594848,12,10,2
1086720251707133,5,5,0
1086720259535316,7,6,1
1088569657959841,7,7,0
1093360956058164,9,8,1
1093360957290683,6,6,0
1093360957695180,4,4,0
1093360958929044,10,10,0
1093360959885828,7,7,0
1097544651473674,6,6,0
1105293551882937,9,9,0
1105293558831403,5,5,0
1105293559503672,9,8,1
1120464650533006,7,7,0
1121361355481818,6,6,0
1129351750845269,8,8,0
1129351755525523,9,9,0
1129351755831566,8,8,0
1141323651568216,8,8,0
1147406554696391,7,7,0
1147406556896759,7,7,0
1151210456889771,10,10,0
1154028351114398,8,8,0
1156580359027235,5,5,0
1156904255883502,7,7,0
1187988654357764,10,10,0
1187988654972841,8,7,1
1192869254164323,6,6,0
1193411457363067,5,5,0
1207404151988570,9,9,0
1207404152874646,10,10,0
1213679951835810,9,9,0
1214513754833205,11,11,0
1218577557648356,5,5,0
1230366751202805,7,7,0
1230366752329768,6,6,0
1230366753999109,8,8,0
1230366754218896,4,4,0
1243354150247294,12,12,0
1247519850639335,5,5,0
1247519858387960,8,8,0
1247519858466988,6,6,0
1026887759301985,7,7,0
1043978150501762,7,7,0
1043978156925922,7,7,0
1071547759170987,10,10,0
1088569659532499,8,6,2
1093360950290463,11,11,0
1093360951816597,8,8,0
1093360954694185,11,11,0
1093360954870311,8,8,0
1095905453881360,12,12,0
1095905459281953,7,7,0
1097544659969148,7,7,0
1102224550146341,6,6,0
1105227353537165,6,6,0
1105227353702175,8,8,0
1105293553792271,5,5,0
1121287359983953,10,10,0
1137815052705433,6,6,0
1141323653836642,9,9,0
1147406552522246,10,9,1
1151210451244125,10,10,0
1154028358773579,13,13,0
1188092350969842,8,8,0
1207404153353190,7,7,0
1211086350751429,9,9,0
1211086355498995,10,10,0
1053232652195893,6,6,0
1086720251723789,9,9,0
1086720257163975,5,5,0
1093360955438657,7,6,1
1093360959243134,5,5,0
1102224551656138,8,8,0
1102224558274962,6,6,0
1121287353762508,7,7,0
1156909354721804,4,4,0
1189309155430447,7,7,0
1214513754100996,11,11,0
1218577554211038,6,6,0
1218928559956784,7,7,0
1243342155644325,4,4,0
1041064159980986,5,5,0
1102224553978610,7,7,0
1160762852356321,9,9,0
1188092356440140,7,7,0
1218577553930112,7,7,0
1093360955646831,9,9,0
1207404156502688,4,4,0
1043978156498272,10,9,1
